,Name,City,School district,Rating,Test Scores,College Readiness,Lat,Lon,S-T ratio,White,Asian,Black,Hispanic,Average teacher salary
339,Daylight  Twilight High School,Trenton,Trenton Public School District,1,1,1,40.22845,-74.780334,9,<1%,<1%,41%,59%,"71,700"
340,Biotechnology High School,Freehold,Monmouth County Vocational School District,10,10,10,40.26119,-74.25104,14,48%,49%,1%,2%,"70,171"
341,Colts Neck High School,Colts Neck,Freehold Regional High School District,5,5,7,40.27628,-74.20895,13,76%,10%,2%,11%,"65,435"
342,Monmouth Cty Career Cent,Freehold,Monmouth County Vocational School District,N/A,N/A,N/A,40.26109,-74.24921,N/A,50%,<1%,33%,<1%,N/A
343,Henry Hudson Reg School,Highlands,Henry Hudson Regional School District,5,6,6,40.3937,-73.9858,8,84%,2%,5%,8%,"56,015"
344,Trenton Central High School,Trenton,Trenton Public School District,2,2,1,40.211926,-74.74552,10,1%,<1%,53%,45%,"71,120"
345,Red Bank Reg High School,Little Silver,Red Bank Regional School District,6,7,8,40.349686,-74.03888,14,60%,2%,6%,31%,"76,785"
346,Rumson Fair Haven Reg High School,Rumson,Rumson-Fair Haven Regional High School District,6,6,9,40.369236,-74.001915,12,93%,1%,<1%,3%,"68,921"
347,Hamilton West-Watson High School,Hamilton Township,Hamilton Township Public School District,3,3,3,40.19906,-74.72336,12,38%,3%,21%,36%,"65,111"
348,Monmouth Reg High School,Tinton Falls,Monmouth Regional School District,4,5,5,40.303776,-74.09105,8,52%,8%,18%,17%,"65,729"
349,Class Academy,Tinton Falls,Monmouth County Vocational School District,N/A,N/A,N/A,40.30362,-74.09013,N/A,51%,<1%,35%,14%,"82,624"
350,Freehold Twp High School,Freehold,Freehold Regional High School District,5,5,7,40.22015,-74.28264,15,75%,7%,5%,11%,"69,422"
351,Allentown High School,Allentown,Upper Freehold Regional School District,6,6,8,40.173203,-74.586876,13,88%,3%,4%,4%,"67,680"
352,Regional Alternative School,Tinton Falls,Monmouth-Ocean Educational Services Commission School District,N/A,N/A,N/A,40.270157,-74.08053,N/A,37%,<1%,30%,30%,"66,141"
353,Developmental Learning,Tinton Falls,Bayshore Jointure Commission School District,N/A,N/A,N/A,40.270157,-74.08053,N/A,65%,5%,15%,15%,"50,163"
354,Bordentown Reg High School,Bordentown,Bordentown Regional School District,4,4,4,40.1546,-74.6839,14,64%,10%,16%,10%,"66,612"
355,Shore Reg High School,West Long Branch,Shore Regional High School District,5,6,6,40.29552,-74.022514,11,86%,2%,1%,9%,"91,022"
356,New Egypt High School,Plumsted Township,Plumsted Township Board Of Education School District,5,6,6,40.080208,-74.52922,13,89%,1%,2%,8%,"77,302"
357,N Burl Co Reg High School,Mansfield,Northern Burlington County Regional School District,5,5,7,40.0882,-74.6856,13,66%,10%,10%,11%,"55,278"
358,Florence Twp Mem High School,Bordentown,Florence Township School District,5,6,4,40.101738,-74.79449,13,59%,12%,21%,6%,"63,040"
359,Pemberton Twp High School,Pemberton,Pemberton Township School District,2,2,2,39.9928,-74.68583,11,53%,2%,30%,14%,"45,819"
360,Jackson Memorial High School,Jackson Township,Jackson Township School District,4,4,6,40.10718,-74.34573,13,83%,3%,6%,7%,"49,494"
361,Jackson Center Vocational School,Jackson Township,Ocean County Vocational Technical School District,N/A,N/A,N/A,40.058594,-74.354805,N/A,<1%,<1%,<1%,100,N/A
362,N J Reg Day  Jackson,Jackson Township,Manchester Township School District,N/A,N/A,N/A,40.057007,-74.35444,N/A,71%,3%,12%,12%,"71,141"
363,Burlington Twp High School,Burlington,Burlington Township Board Of Education School District,4,3,5,40.064137,-74.83536,12,45%,10%,34%,8%,"61,991"
364,Burlington City High School,Burlington,Burlington City  Public School District,3,3,3,40.070133,-74.85164,9,34%,3%,50%,11%,"64,116"
365,Rancocas Valley Reg High School,Mount Holly,Rancocas Valley Regional High School District,5,6,5,40.002514,-74.78299,13,56%,7%,25%,11%,"73,675"
366,Burlington Co Spec School  Wc,Westampton,Burlington County Special Services School District,N/A,N/A,N/A,40.01629,-74.81507,N/A,43%,4%,37%,12%,"116,180"
367,Inst of Tech-Evening Vocational,Westampton Township,Burlington County Institute Of Technology School District,N/A,N/A,N/A,40.0178,-74.822,N/A,N/A,N/A,N/A,N/A,N/A
368,Inst Of Tech  Westampton,Westampton,Burlington County Institute Of Technology School District,5,5,4,40.01816,-74.82329,13,22%,2%,51%,17%,"78,969"
369,Burlington Trans Ed Center,Westampton,Office Of Education Department Of Children And Families School District,N/A,N/A,N/A,40.013,-74.8224,N/A,N/A,N/A,N/A,N/A,N/A
370,Performing Arts Academy,Lakehurst,Ocean County Vocational Technical School District,7,7,8,40.0284,-74.3169,10,84%,1%,4%,9%,"64,744"
371,Ocvts  Navy Lakehrst Center,Lakehurst,Ocean County Vocational Technical School District,N/A,N/A,N/A,40.0279,-74.3106,N/A,100,<1%,<1%,<1%,N/A
372,Jackson Liberty High School,Jackson Township,Jackson Township School District,3,4,4,40.08931,-74.26146,12,75%,4%,8%,13%,"44,481"
373,Manchester High School,Manchester Township,Manchester Township School District,2,2,4,40.005573,-74.31017,12,67%,5%,12%,15%,"64,724"
374,Willingboro High School,Willingboro,Willingboro Public School District,1,1,2,40.017063,-74.885925,9,2%,1%,91%,5%,"69,437"
375,Burlington County Alternative High School,Mount Laurel Township,Burlington County Special Services School District,N/A,N/A,N/A,39.973,-74.898,N/A,69%,3%,19%,6%,"51,298"
376,Lakewood High School,Lakewood Township,Lakewood Township School District,2,2,2,40.09927,-74.19314,12,5%,<1%,12%,82%,"52,996"
377,Howell High School,Howell Township,Freehold Regional High School District,5,5,8,40.18623,-74.17905,15,84%,3%,4%,8%,"70,543"
378,Riverside High School,Riverside,Riverside Township School District,2,1,3,40.03408,-74.95531,11,61%,1%,19%,18%,"49,520"
379,Delran High School,Delran,Delran Township School District,4,4,4,40.01329,-74.94406,12,73%,3%,11%,11%,"82,098"
380,Lumberton Campus,Lumberton,Burlington County Special Services School District,N/A,N/A,N/A,39.9325,-74.8527,N/A,19%,<1%,59%,22%,"67,705"
381,Inst Of Tech  Medford Camp,Medford,Burlington County Institute Of Technology School District,4,3,6,39.89439,-74.802666,12,57%,1%,19%,15%,"75,745"
382,Lenape High School,Medford,Lenape Regional High School District,6,6,8,39.920864,-74.85455,11,61%,12%,18%,7%,"84,526"
383,Moorestown High School,Moorestown,Moorestown Township School District,8,7,10,39.985756,-74.94461,12,73%,12%,7%,5%,"110,345"
384,Seneca High School,Tabernacle,Lenape Regional High School District,5,5,7,39.857338,-74.7178,10,91%,1%,3%,4%,"80,436"
385,Brick Center Vocational School,Brick Township,Ocean County Vocational Technical School District,N/A,N/A,N/A,40.0729,-74.154175,N/A,18%,N/A,18%,64%,N/A
386,Brick Twp High School,Brick Township,Brick Township Public School District,4,5,4,40.07318,-74.153175,11,75%,3%,4%,17%,"67,831"
387,Shawnee High School,Medford,Lenape Regional High School District,6,6,9,39.85559,-74.77537,12,89%,4%,2%,5%,"77,719"
388,Cinnaminson High School,Cinnaminson,Cinnaminson Township Public School District,6,7,6,40.00753,-74.9964,12,79%,3%,8%,6%,"70,221"
389,Toms River Center Vocational School,Toms River,Ocean County Vocational Technical School District,N/A,N/A,N/A,39.985264,-74.19622,N/A,18%,<1%,6%,76%,N/A
390,Brick Twp Memorial High School,Brick Township,Brick Township Public School District,4,5,5,40.104412,-74.12911,13,79%,2%,8%,10%,"65,201"
391,Toms River High - North High School,Toms River,Toms River Regional School District,5,6,6,39.982315,-74.19187,15,69%,7%,6%,15%,"64,641"
392,Toms River High - South High School,Toms River,Toms River Regional School District,4,5,5,39.95588,-74.19526,13,72%,2%,8%,14%,"65,138"
393,Palmyra High School,Palmyra,Palmyra Public School District,2,3,3,40.00257,-75.028,9,55%,3%,22%,14%,"66,959"
394,Delaware Avenue Elementary School,Palmyra,Palmyra Public School District,N/A,N/A,N/A,40.0032,-75.0291,N/A,56%,N/A,22%,17%,N/A
395,Pennsauken High School,Pennsauken Township,Pennsauken Township Board Of Education School District,2,2,2,39.98696,-75.02619,15,10%,12%,31%,46%,"87,039"
396,Cherokee High School,Evesham Township,Lenape Regional High School District,6,6,8,39.873837,-74.89945,12,80%,8%,7%,4%,"102,073"
397,Maple Shade High School,Maple Shade Township,Maple Shade School District,3,4,2,39.947773,-75.00607,12,61%,4%,13%,20%,"53,705"
398,Communications High School,Wall Township,Monmouth County Vocational School District,9,9,10,40.169903,-74.06205,11,87%,7%,1%,4%,"67,153"
399,Toms River High - East High School,Toms River,Toms River Regional School District,5,6,4,39.964977,-74.14191,13,83%,3%,3%,9%,"63,190"
400,Wall High School,Wall Township,Wall Township Public School District,6,7,7,40.169407,-74.0607,9,89%,1%,2%,6%,"57,669"
401,Alternative High School,Cherry Hill,Cherry Hill Township School District,N/A,N/A,N/A,39.914295,-74.99109,N/A,61%,N/A,28%,6%,"20,208"
402,Point Pleasant High School,Point Pleasant,Point Pleasant Borough Board Of Education School District,6,7,6,40.0782,-74.0728,11,89%,<1%,1%,8%,"61,898"
403,Central Regional High School,Berkeley Township,Central Regional School District,3,4,3,39.889423,-74.21059,14,70%,2%,7%,17%,"72,103"
404,Cherry Hill High-West High School,Cherry Hill,Cherry Hill Township School District,4,3,6,39.929646,-75.02004,13,56%,11%,12%,18%,"58,180"
405,Cherry Hill High-East High School,Cherry Hill,Cherry Hill Township School District,8,8,9,39.876667,-74.964165,16,62%,23%,6%,6%,"65,804"
406,Manasquan High School,Manasquan,Manasquan School District,6,6,7,40.127686,-74.049194,13,86%,2%,2%,10%,"95,726"
407,Point Pleasant Bch High School,Point Pleasant Beach,Point Pleasant Beach Board Of Education School District,7,8,8,40.088863,-74.05216,13,90%,2%,1%,7%,"58,644"
408,Academy Allied Health & Sci,Neptune City,Monmouth County Vocational School District,10,10,10,40.214684,-74.03782,12,65%,27%,3%,3%,"81,452"
409,Neptune High School,Neptune City,Neptune Township School District,2,3,2,40.212643,-74.036255,17,23%,2%,50%,22%,"54,235"
410,Haddonfield Memorial High School,Haddonfield,Haddonfield Board Of Education School District,8,8,10,39.90195,-75.02643,11,90%,5%,2%,2%,"74,632"
411,Camden County Techical Vocational School,Pennsauken Township,Camden County Technical School District,3,3,4,39.938313,-75.06409,13,3%,3%,25%,67%,"74,493"
412,Ocean Twp High School,Ocean Township,Township Of Ocean School District,5,4,6,40.267372,-74.03007,13,62%,9%,13%,15%,"82,149"
413,Eastern High School,Voorhees Township,Eastern Camden County Regional School District,6,6,8,39.849155,-74.96682,14,62%,16%,10%,8%,"70,479"
414,Lacey Twp High School,Lacey Township,Lacey Township School District,4,4,4,39.860676,-74.19486,13,89%,1%,1%,8%,"80,717"
415,Woodrow Wilson High School,Camden,Camden City Public School District,1,1,1,39.94662,-75.077515,12,1%,1%,29%,69%,"68,118"
416,Asbury Park High School,Asbury Park,Asbury Park School District,1,1,1,40.228497,-74.013176,7,2%,N/A,65%,34%,"70,518"
417,Haddon Twp High School,Haddon Township,Haddon Township School District,7,6,8,39.904915,-75.057076,12,83%,3%,3%,9%,"91,616"
418,Cherry Hill Tran-Education Center,Cherry Hill,Office Of Education Department Of Children And Families School District,N/A,N/A,N/A,39.860985,-75.01338,N/A,20%,<1%,<1%,80%,N/A
419,Cherry Hill Transportation Education Program(Tep),Cherry Hill,Office Of Education Department Of Children And Families School District,N/A,N/A,N/A,39.860573,-75.01343,N/A,N/A,N/A,N/A,N/A,N/A
420,Collingswood Sr High School,Collingswood,Collingswood Public School District,4,5,5,39.91276,-75.07732,10,50%,5%,20%,21%,"77,421"
421,Camden High School,Camden,Camden City Public School District,1,1,1,39.93552,-75.098175,10,1%,N/A,73%,25%,"88,767"
422,Haddon Heights Jr  Sr High School,Haddon Heights,Haddon Heights School District,4,6,4,39.88413,-75.0502,10,68%,2%,17%,9%,"66,108"
423,Met East High School,Camden,Camden City Public School District,1,1,1,39.930923,-75.09534,8,N/A,N/A,71%,29%,"59,490"
424,Brimm Medical Arts High School,Camden,Camden City Public School District,4,3,6,39.9237,-75.09534,11,N/A,2%,59%,38%,"69,636"
425,Lindenwold High School,Lindenwold,Lindenwold Board Of Education School District,2,2,1,39.82061,-74.97554,12,11%,3%,38%,47%,"54,940"
426,Ocean Center Vocational School,Ocean Township,Ocean County Vocational Technical School District,4,3,6,39.795715,-74.24645,5,83%,<1%,4%,11%,"58,529"
427,Academy Of Law & Public Safety,Long Branch,Monmouth County Vocational School District,N/A,N/A,N/A,40.288235,-73.992096,N/A,73%,N/A,6%,20%,"63,423"
428,Long Branch High School,Long Branch,Long Branch Public School District,3,3,3,40.290276,-73.99011,13,25%,1%,21%,52%,"35,428"
429,Audubon High School,Audubon,Audubon Public School District,4,5,5,39.884483,-75.07576,12,84%,2%,4%,8%,"67,488"
430,Sterling High School,Somerdale,Sterling School District,4,4,5,39.83607,-75.02589,14,62%,5%,19%,11%,"80,015"
431,Morgan Village Middle School,Camden,Camden City Public School District,3,2,3,39.913002,-75.10974,10,<1%,<1%,70%,30%,"72,130"
432,Barnegat High School,Barnegat Township,Barnegat Township School District,4,4,4,39.772987,-74.234634,13,75%,2%,9%,11%,"47,016"
433,Triton High School,Runnemede,Black Horse Pike Regional School District,3,3,3,39.84938,-75.06228,13,71%,8%,9%,11%,"68,424"
434,Overbrook High School,Pine Hill,Pine Hill Borough Board Of Education School District,2,2,3,39.77783,-74.965996,11,51%,4%,28%,14%,"68,752"
435,Gloucester City Jr Sr High School,Gloucester City,Gloucester City Public School District,4,4,3,39.885166,-75.11096,11,71%,4%,10%,14%,"70,292"
436,Winslow Twp High School,Atco,Winslow Township School District,2,3,2,39.74541,-74.90708,10,18%,3%,64%,13%,"74,730"
437,Gloucester City Adult High School,Gloucester City,Gloucester City Public School District,N/A,N/A,N/A,39.883747,-75.11402,N/A,N/A,N/A,N/A,N/A,N/A
438,Camden Countytechnical Vocational School,Sicklerville,Camden County Technical School District,5,5,6,39.76508,-74.97585,10,39%,2%,29%,26%,"73,823"
439,Highland High School,Blackwood,Black Horse Pike Regional School District,3,3,4,39.801304,-75.04881,14,55%,7%,28%,10%,"65,868"
440,Marine Academy of Technology and Environmental Science,Stafford Township,Ocean County Vocational Technical School District,9,N/A,10,39.716278,-74.25567,15,80%,12%,1%,5%,"60,949"
441,Timber Creek High School,Erial,Black Horse Pike Regional School District,3,4,3,39.761868,-75.01786,14,52%,5%,35%,7%,"68,144"
