,Name,City,School district,Rating,Test Scores,College Readiness,Lat,Lon,S-T ratio,White,Asian,Black,Hispanic,Average teacher salary
0,Randolph High School,Randolph,Randolph Township School District,7,7,10,40.846462,-74.56663,11,75%,9%,3%,12%,"68,303"
1,Roxbury High School,Roxbury Township,Roxbury Township School District,4,5,5,40.861923,-74.64078,12,73%,6%,3%,16%,"75,374"
2,Dover High School,Dover,Dover Public School District,4,5,3,40.897945,-74.55969,13,8%,2%,5%,85%,"68,629"
3,Morris Hills High School,Rockaway,Morris Hills Regionalschool District,6,7,7,40.890835,-74.52918,9,49%,11%,3%,36%,"70,438"
4,"Mathematics, Science & Engineering School",Rockaway,Morris County Vocational School District,9,N/A,10,40.890835,-74.52918,6,11%,85%,1%,2%,"99,820"
5,West Morris Mendham High School,Mendham,West Morris Regional High School District,8,8,10,40.77616,-74.59208,13,85%,6%,1%,6%,"72,655"
6,Regional Day School,Morristown,Educational Services Commission Of Morris County School District,N/A,N/A,N/A,40.825626,-74.50166,N/A,42%,4%,13%,33%,"52,530"
7,Morris Hills Adult High School,Rockaway,Morris Hills Regionalschool District,N/A,N/A,N/A,40.8847,-74.5104,N/A,N/A,N/A,N/A,N/A,N/A
8,Morris Knolls High School,Rockaway,Morris Hills Regionalschool District,6,7,7,40.885643,-74.50858,10,78%,6%,2%,12%,"77,221"
9,Park Lake School,Rockaway,Educational Services Commission Of Morris County School District,N/A,N/A,N/A,40.90514,-74.51451,N/A,80%,2%,<1%,17%,"49,467"
10,Morris Co School Of Tech,Denville,Morris County Vocational School District,10,10,10,40.87857,-74.479126,11,62%,23%,1%,11%,"74,729"
11,Morristown High School,Morristown,Morris School District,4,4,6,40.801147,-74.48645,15,54%,5%,9%,32%,"75,240"
12,Mt  Olive High School,Mount Olive Township,Mount Olive Township School District,7,8,7,40.858616,-74.71398,13,68%,11%,6%,13%,"62,442"
13,Hopatcong High School,Hopatcong,Hopatcong Borough School District,4,3,4,40.926636,-74.67085,11,75%,2%,3%,18%,"79,054"
14,Parsippany Hills High School,Morris Plains,Parsippany-Troy Hills Township School District,6,7,8,40.86156,-74.456406,10,43%,39%,3%,12%,"69,295"
15,Lenape Val Regional High School,Stanhope,Lenape Valley Regional Highschool District,5,5,7,40.91974,-74.700325,13,81%,3%,3%,13%,"71,228"
16,West Morris Central High School,Chester,West Morris Regional High School District,8,8,9,40.812294,-74.72927,13,85%,4%,2%,7%,"72,552"
17,Bernards High School,Bernardsville,Somerset Hills Regional School District,7,7,9,40.721363,-74.56713,11,74%,7%,1%,17%,"68,782"
18,Whippany Park High School,Hanover,Hanover Park Regional High School District,7,6,9,40.814217,-74.423706,12,76%,13%,3%,8%,"73,214"
19,Mountain Lakes High School,Mountain Lakes,Mountain Lakes Board Of Education School District,8,9,9,40.89519,-74.42708,11,81%,11%,<1%,5%,"69,561"
20,Parsippany High School,Parsippany-Troy Hills,Parsippany-Troy Hills Township School District,7,8,7,40.869724,-74.391945,10,47%,34%,3%,13%,"72,799"
21,Boonton High School,Boonton,Boonton Town School District,5,5,6,40.90322,-74.40303,11,63%,13%,6%,16%,"72,649"
22,Ridge High School,Bernards,Bernards Township Public School District,9,9,10,40.69436,-74.546875,11,65%,26%,1%,6%,"65,308"
23,Madison High School,Madison,Madison School District,7,8,9,40.770264,-74.40855,13,76%,8%,3%,12%,"77,177"
24,Hanover Park High School,East Hanover,Hanover Park Regional High School District,6,5,8,40.804165,-74.37307,10,79%,9%,4%,7%,"58,018"
25,Academy For Environmental Science,Sparta Township,Morris County Vocational School District,N/A,N/A,N/A,41.016514,-74.553535,N/A,81%,3%,3%,10%,N/A
26,Jefferson Twp High School,Jefferson,Jefferson Township School District,6,7,5,41.01677,-74.55247,16,84%,4%,2%,9%,"90,812"
27,Hackettstown High School,Hackettstown,Hackettstown Public School District,6,7,7,40.84539,-74.83048,13,75%,3%,3%,17%,"72,496"
28,Montville High School,Montville,Montville Township School District,8,7,10,40.893555,-74.36005,9,70%,22%,1%,5%,"50,566"
29,Chatham High School,Chatham Township,The School District Of The Chathams,8,8,10,40.731506,-74.400635,11,83%,10%,1%,4%,"71,079"
30,New Providence High School,New Providence,New Providence Board Of Education School District,8,8,9,40.700607,-74.40872,11,76%,13%,2%,9%,"75,738"
31,Sparta High School,Sparta Township,Sparta Township Public School District,7,7,9,41.054276,-74.62474,12,88%,5%,2%,5%,"76,801"
32,Summit Sr High School,Summit,Summit Public School District,7,8,9,40.72082,-74.37062,13,64%,7%,5%,18%,"66,211"
33,Devel L C  New Providence,New Providence,Morris-Union Jointure Commisson School District,N/A,N/A,N/A,40.698704,-74.392944,N/A,44%,2%,36%,16%,N/A
34,Watchung Hills Reg High School,Warren,Watchung Hills Regional High School District,6,6,9,40.652576,-74.475494,13,67%,17%,3%,10%,"71,297"
35,Livingston Sr  High School,Livingston,Livingston Public School District,8,8,9,40.783974,-74.32099,11,64%,26%,4%,4%,"80,161"
36,Devel L C  Warren,Warren,Morris-Union Jointure Commisson School District,N/A,N/A,N/A,40.6387,-74.51639,N/A,43%,14%,25%,16%,N/A
37,Kinnelon High School,Kinnelon,Kinnelon Board Of Education School District,8,9,9,40.996376,-74.37795,11,87%,5%,1%,6%,"78,229"
38,Governor Livingston High School,New Providence,Berkeley Heights Public School District,7,6,9,40.68716,-74.38688,11,76%,8%,1%,12%,"69,822"
39,James Caldwell High School,West Caldwell,Caldwell-West Caldwell Public School District,7,7,8,40.842136,-74.29638,16,84%,4%,2%,10%,"101,302"
40,Essex County Vocational School,West Caldwell,Essex County Vocational Technical School District,4,4,3,40.85308,-74.29257,7,3%,1%,45%,50%,"114,691"
41,Northern Hill Academy,Sparta Township,Sussex County Educational Services Commission School District,N/A,N/A,N/A,41.07356,-74.66671,N/A,86%,<1%,5%,7%,"62,992"
42,Newton High School,Newton,Newton Public School District,4,5,5,41.050842,-74.7605,11,81%,2%,4%,11%,"72,223"
43,Butler High School,Butler,Butler Public School District,5,6,5,40.99806,-74.33959,10,81%,1%,1%,16%,"71,732"
44,Law & Public Safety,Butler,Morris County Vocational School District,8,N/A,8,40.99806,-74.33959,96,78%,11%,6%,6%,"74,469"
45,Essex Campus Academy,Fairfield,Essex Regional Educational Services Commission School District,N/A,N/A,N/A,40.88666,-74.27318,N/A,11%,<1%,67%,22%,N/A
46,Pequannock Twp High School,Pequannock Township,Pequannock Township School District,7,6,8,40.960556,-74.30568,11,88%,2%,1%,8%,"63,788"
47,Millburn Sr High School,Millburn,Millburn Township School District,8,8,10,40.72049,-74.3157,12,63%,25%,2%,6%,"74,577"
48,West Essex High School,Caldwell,West Essex Regional School District,7,6,8,40.87452,-74.2692,11,84%,5%,2%,8%,"81,097"
49,Scotch Plains Fanwood High School,Scotch Plains,Scotch Plains-Fanwood School District,7,7,8,40.65304,-74.38506,15,71%,7%,10%,9%,"75,168"
50,North Plainfield High School,North Plainfield,North Plainfield Boro School District,4,3,5,40.6227,-74.4397,11,10%,5%,22%,63%,"52,899"
51,Jonathan Dayton High School,Springfield Township,Springfield Public School District,7,7,6,40.706196,-74.31429,12,61%,6%,12%,18%,"74,166"
52,Hillcrest Academy  North,Scotch Plains,Union County Educational Services Commission School District,N/A,N/A,N/A,40.654877,-74.373634,N/A,5%,2%,28%,65%,"79,714"
53,E S C Tewksbury,Califon,Hunterdon County Educational Services Commission School District,N/A,N/A,N/A,40.700714,-74.86465,N/A,<1%,<1%,<1%,100,"97,300"
54,West Orange High School,West Orange,West Orange Public School District,4,5,4,40.80668,-74.26021,11,19%,6%,46%,28%,"66,967"
55,Sussex Cty Tech High School,Sparta Township,Sussex County Technical School District,5,4,7,41.097443,-74.65212,11,91%,1%,1%,6%,"65,367"
56,Brdgwtr  Raritn High School,Bridgewater Township,Bridgewater-Raritan Regional School District,7,8,8,40.59282,-74.633385,12,57%,25%,3%,13%,"58,598"
57,Somerset Co Voc Tech High School,Bridgewater Township,Somerset County Vocational And Technical School District,6,6,7,40.588135,-74.604515,6,46%,24%,9%,19%,"66,800"
58,Verona High School,Verona,Verona  Public School District,8,7,9,40.841278,-74.24804,12,81%,6%,3%,9%,"64,572"
59,Boaacd,Plainfield,Plainfield Public School District,N/A,N/A,N/A,40.60489,-74.447655,N/A,<1%,<1%,42%,54%,"69,263"
60,Somerville High School,Somerville,Somerville Borough School District,6,6,8,40.57862,-74.61149,13,63%,8%,7%,20%,"71,673"
61,Paaas,Plainfield,Plainfield Public School District,5,5,4,40.597847,-74.45505,10,1%,1%,42%,57%,"70,207"
62,Voorhees High School,Glen Gardner,North Hunterdon-Voorhees Regional High School District,8,8,9,40.69577,-74.88688,12,87%,4%,2%,6%,"70,804"
63,Columbia Senior High School,Maplewood,South Orange-Maplewood School District,6,7,7,40.735447,-74.26636,13,51%,4%,38%,6%,"71,991"
64,Dunellen High School,Dunellen,Dunellen Public School District,4,5,4,40.592236,-74.46804,10,39%,6%,9%,46%,"64,686"
65,Plainfield High School,Plainfield,Plainfield Public School District,1,1,1,40.61144,-74.4133,15,<1%,<1%,27%,72%,"87,010"
66,Westfield Senior High School,Westfield,Westfield Public School District,7,6,10,40.644764,-74.34928,12,85%,7%,3%,5%,"80,026"
67,Essex Jr Academy,Cedar Grove,Essex Regional Educational Services Commission School District,N/A,N/A,N/A,40.850964,-74.23009,N/A,<1%,<1%,87%,13%,N/A
68,Union Senior High School,Union,Twp Of Union Board Of Education School District,4,4,4,40.703575,-74.28377,12,19%,9%,49%,21%,"69,811"
69,Middlesex High School,Middlesex,Middlesex Borough Public School District,6,6,7,40.58247,-74.49464,10,55%,7%,7%,29%,"69,709"
70,Pompton Lakes High School,Pompton Lakes,Pompton Lakes Boro School District,7,7,7,41.004513,-74.28863,11,74%,5%,2%,17%,"72,678"
71,Cedar Grove High School,Cedar Grove,Cedar Grove Township School District,7,7,7,40.85137,-74.22336,11,85%,6%,1%,8%,"68,304"
72,Orange High School,City of Orange,Orange Board Of Education School District,3,3,3,40.765804,-74.23951,10,<1%,<1%,68%,31%,"60,103"
73,David Brearley High School,Kenilworth,Kenilworth School District,2,2,3,40.679707,-74.2955,11,57%,3%,11%,28%,"71,775"
74,Cranford Sr High School,Cranford,Cranford Public School District,7,8,7,40.662098,-74.31323,11,85%,3%,5%,7%,"68,791"
75,West Milford High School,West Milford,West Milford Township Public School District,5,5,7,41.07916,-74.38108,11,90%,2%,1%,7%,"77,236"
76,Bound Brook High School,Bound Brook,Bound Brook School District,2,3,2,40.56763,-74.53635,13,18%,1%,14%,65%,"52,496"
77,Orange Alternative High School,City of Orange,Orange Board Of Education School District,N/A,N/A,N/A,40.77606,-74.22971,N/A,N/A,N/A,77%,23%,"72,935"
78,Warren Co Spec Ser School,Mansfield Township,Warren County Special Services School District,N/A,N/A,N/A,40.81971,-74.96367,N/A,80%,<1%,7%,13%,"54,887"
79,Passaic Valley High School,Little Falls,Passaic Valley Regional High School District #1,4,4,5,40.879005,-74.21701,13,62%,4%,3%,29%,"89,296"
80,Wayne Valley High School,Wayne,Wayne Township Public School District,7,7,8,40.930695,-74.23068,11,81%,7%,2%,10%,"77,651"
81,Montclair High School,Montclair,Montclair Public School District,6,7,7,40.82324,-74.2128,13,48%,6%,29%,12%,"82,218"
82,Somerset Secondary Academy,Bridgewater Township,Somerset County Educational Services Commission School District,N/A,N/A,N/A,40.55729,-74.58396,N/A,9%,N/A,67%,24%,"60,731"
83,The Career Center Of The Scesc,Bridgewater Township,Somerset County Educational Services Commission School District,N/A,N/A,N/A,40.55729,-74.58396,N/A,<1%,9%,82%,9%,N/A
84,Union Cty Magnet High School,Scotch Plains,Union County Vocational-Technical School District,10,10,10,40.61805,-74.35703,11,38%,35%,9%,15%,"58,352"
85,Union County Vocational Technical School,Scotch Plains,Union County Vocational-Technical School District,10,9,10,40.61805,-74.35703,6,46%,9%,19%,24%,"61,387"
86,Academy For Allied Hlth Sci,Scotch Plains,Union County Vocational-Technical School District,10,10,10,40.61805,-74.35703,12,39%,26%,15%,18%,"64,751"
87,Academy For Info Tech,Scotch Plains,Union County Vocational-Technical School District,10,10,10,40.61805,-74.35703,11,49%,23%,8%,18%,"61,226"
88,Academy For Perform Arts,Scotch Plains,Union County Vocational-Technical School District,10,9,10,40.61805,-74.35703,12,47%,4%,15%,29%,"55,455"
89,Union County Career & Technical Institute,Scotch Plains,Union County Vocational-Technical School District,N/A,N/A,N/A,40.61805,-74.35703,N/A,50%,6%,13%,31%,N/A
90,South Plainfield High School,South Plainfield,South Plainfield Public School District,6,7,5,40.58916,-74.41244,12,44%,14%,15%,26%,"66,106"
91,Kittatinny Reg High School,Newton,Kittatinny Regional School District,5,5,8,41.107796,-74.764244,9,94%,1%,<1%,4%,"71,338"
92,Wayne Hills High School,Wayne,Wayne Township Public School District,7,7,8,40.968346,-74.23903,11,80%,11%,2%,7%,"78,856"
93,Irvington High School,Irvington,Irvington Board Of Education School District,2,2,1,40.72974,-74.23432,13,N/A,<1%,83%,16%,"84,267"
94,Glen Ridge High School,Glen Ridge,Glen Ridge Public School District,8,9,9,40.799328,-74.20647,9,77%,5%,5%,6%,"77,383"
95,Westlake School  Westfield,Westfield,Union County Educational Services Commission School District,N/A,N/A,N/A,40.6256,-74.32791,N/A,36%,7%,38%,19%,"91,949"
96,Lamberts Mill Academy,Westfield,Union County Educational Services Commission School District,N/A,N/A,N/A,40.6256,-74.32791,N/A,35%,2%,33%,28%,"67,964"
97,Hillcrest Academy  South,Westfield,Union County Educational Services Commission School District,N/A,N/A,N/A,40.6256,-74.32791,N/A,5%,N/A,47%,48%,"71,578"
98,East Orange Campus High School,East Orange,East Orange School District,1,1,1,40.776096,-74.20746,14,<1%,<1%,90%,9%,"86,654"
99,Cicely Tyson Middle/High School,East Orange,East Orange School District,5,5,5,40.76401,-74.21066,9,<1%,N/A,93%,7%,"75,408"
100,East Orange Campus 9,East Orange,East Orange School District,6,7,4,40.776863,-74.20372,13,1%,<1%,94%,5%,"70,072"
101,Bloomfield High School,Bloomfield,Bloomfield Board Of Education School District,3,4,3,40.799458,-74.19748,10,26%,7%,28%,38%,"70,807"
102,Manville High School,Manville,Manville Board Of Education School District,5,5,5,40.544563,-74.59823,11,48%,2%,7%,42%,"75,052"
103,Roselle Park High School,Roselle Park,Roselle Park Board Of Education School District,5,5,5,40.666016,-74.271385,9,32%,6%,10%,51%,"75,496"
104,Warren Hills Reg High School,Washington,Warren Hills Regional School District,5,5,7,40.774395,-74.98389,13,78%,4%,6%,11%,"79,317"
105,Passaic Co Tech Institute,Wayne,Passaic County Vocational School District,7,7,7,40.9309,-74.20238,10,17%,10%,11%,61%,"77,509"
106,Wallkill Valley Reg High School,Hamburg,Wallkill Valley Regional High School District,4,4,6,41.154102,-74.59093,12,82%,2%,4%,10%,"85,727"
107,Arthur L  Johnson High School,Clark,Clark Township Public School District,4,4,6,40.62265,-74.31266,11,86%,2%,2%,9%,"63,560"
108,Essex Cty Voc Bloomfield,Bloomfield,Essex County Vocational Technical School District,7,7,5,40.788113,-74.19032,12,1%,1%,40%,57%,"68,662"
109,Hillside High School,Hillside,Hillside Board Of Education School District,3,3,2,40.691326,-74.236015,10,8%,1%,68%,21%,"72,817"
110,North Hunterdon Reg High School,Clinton Township,North Hunterdon-Voorhees Regional High School District,8,8,9,40.628036,-74.88348,13,86%,6%,3%,5%,"72,872"
111,N J Reg Day School  Newark,Newark,The Newark Public School District,N/A,N/A,N/A,40.713177,-74.220116,N/A,8%,<1%,60%,31%,"66,677"
112,Newark Vocational High School,Newark,The Newark Public School District,1,1,1,40.742237,-74.20353,12,N/A,N/A,87%,13%,"80,707"
113,Newark Early College High School,Newark,The Newark Public School District,2,2,1,40.742237,-74.20353,11,<1%,1%,88%,11%,"69,764"
114,School Of Education And Training,Paterson,Paterson Public School District,1,1,1,40.91453,-74.1873,10,8%,15%,19%,58%,"63,629"
115,School Of Science Tech Engineer Math,Paterson,Paterson Public School District,2,2,2,40.91453,-74.1873,11,8%,23%,18%,51%,"59,024"
116,School Of Archit Construction Trades,Paterson,Paterson Public School District,1,1,1,40.91453,-74.1873,8,6%,2%,18%,74%,"59,267"
117,School Of Bus Tech Mrkting Finance,Paterson,Paterson Public School District,1,1,1,40.91453,-74.1873,10,2%,6%,30%,62%,"57,647"
118,Weequahic High School,Newark,The Newark Public School District,1,1,1,40.709305,-74.22004,10,<1%,N/A,91%,9%,"80,194"
119,Eagle Academy,Newark,The Newark Public School District,3,2,N/A,40.709305,-74.22004,11,1%,<1%,90%,8%,"71,590"
120,University High School,Newark,The Newark Public School District,3,3,3,40.721367,-74.211235,13,1%,1%,82%,16%,"74,927"
121,John F Kennedy,Newark,The Newark Public School District,N/A,N/A,N/A,40.74219,-74.20017,N/A,<1%,<1%,<1%,100,"74,075"
122,Piscataway Twp High School,Piscataway,Piscataway Township School District,5,5,6,40.545734,-74.47106,13,15%,28%,35%,20%,"77,093"
123,Lakeland Reg High School,Wanaque,Lakeland Regional High School District,6,7,6,41.05925,-74.28275,10,79%,4%,2%,12%,"69,481"
124,Abraham Clark High School,Roselle,Roselle Public School District,2,2,2,40.65354,-74.26167,11,3%,1%,59%,36%,"93,073"
125,International High School,Paterson,Paterson Public School District,3,3,2,40.90938,-74.17969,9,3%,4%,30%,63%,"54,001"
126,Garrett Morgan Academy,Paterson,Paterson Public School District,N/A,N/A,N/A,40.90938,-74.17969,N/A,3%,3%,20%,74%,"64,619"
127,J P Stevens High School,Edison,Edison Township Public School District,7,8,10,40.580265,-74.361496,15,13%,75%,7%,4%,"85,521"
128,Bard Early College High School,Newark,The Newark Public School District,5,6,2,40.734924,-74.195465,13,3%,2%,62%,33%,"77,497"
129,Fast Track Success Academy,Newark,The Newark Public School District,N/A,N/A,N/A,40.727352,-74.195465,N/A,2%,N/A,81%,16%,"58,421"
130,Newark Innovation Academy,Newark,The Newark Public School District,N/A,N/A,N/A,40.727352,-74.195465,N/A,<1%,<1%,82%,18%,N/A
131,Central High School,Newark,The Newark Public School District,1,1,1,40.729614,-74.19358,10,<1%,<1%,90%,10%,"73,027"
132,Raymond Lesniak Energy Strength Hope Recovery High School,Union,Union County Vocational-Technical School District,N/A,N/A,N/A,40.676456,-74.22848,N/A,67%,<1%,33%,<1%,N/A
133,Newark Leadership Academy,Newark,The Newark Public School District,1,N/A,1,40.732944,-74.191246,6,<1%,<1%,89%,11%,"79,523"
134,Indian Hills High School,Oakland,Ramapo Indian Hills Regional High School District,7,7,9,41.022625,-74.23127,12,86%,4%,1%,7%,"73,383"
135,Clifton High School,Clifton,Clifton Public School District,3,4,3,40.869644,-74.16335,13,32%,6%,5%,56%,"72,566"
136,Barringer High School,Newark,The Newark Public School District,1,1,1,40.75542,-74.179855,13,1%,<1%,40%,59%,"80,150"
137,Barringer Academy Of S.T.E.A.M.,Newark,The Newark Public School District,1,1,1,40.75542,-74.179855,11,<1%,1%,17%,81%,"64,174"
138,Harp Health& Related Prof Academy,Paterson,Paterson Public School District,4,5,4,40.9171,-74.1713,7,5%,8%,19%,67%,"58,451"
139,Alternative High School - Yes Academy,Paterson,Paterson Public School District,N/A,N/A,N/A,40.9171,-74.1713,N/A,1%,2%,55%,41%,"56,112"
140,Science High School,Newark,The Newark Public School District,9,9,9,40.73994,-74.18546,14,17%,3%,33%,45%,"78,657"
141,Adult High School,Paterson,Paterson Public School District,N/A,N/A,N/A,40.917297,-74.170944,N/A,N/A,N/A,N/A,N/A,N/A
142,Linden High School,Linden,Linden City Board Of Education School District,3,3,2,40.634743,-74.26507,12,17%,2%,39%,40%,"81,933"
143,Manchester Reg High School,Haledon,Passaic County Manchester Regional High School District,3,3,2,40.94157,-74.17858,17,17%,4%,19%,59%,"97,781"
144,Rahway High School,Rahway,Rahway Public School District,3,3,2,40.610832,-74.29413,10,14%,3%,40%,42%,"98,079"
145,Panther,Paterson,Paterson Public School District,2,2,1,40.9167,-74.16813,8,5%,4%,33%,58%,"62,338"
146,Nutley High School,Nutley,Nutley Public School District,5,6,6,40.8173,-74.16015,15,66%,12%,2%,20%,"74,936"
147,Colonia High School,Colonia,Woodbridge Township School District,4,4,5,40.5921,-74.3197,10,52%,17%,13%,18%,"74,491"
148,American History High School,Newark,The Newark Public School District,3,3,2,40.730576,-74.18647,12,2%,<1%,69%,28%,"72,723"
149,West Market Street Vocational School,Newark,Essex County Vocational Technical School District,6,6,4,40.74026,-74.1817,14,1%,1%,54%,44%,"76,032"
150,Franklin Twp High School,Franklin Township,Franklin Township Public School District,4,5,4,40.52023,-74.55237,12,12%,14%,40%,33%,"58,222"
151,Belleville Sr  High School,Belleville,Belleville Public School District,3,3,2,40.802998,-74.16161,10,15%,12%,9%,64%,"94,345"
152,Malcolm X Shabazz High School,Newark,The Newark Public School District,1,1,1,40.71825,-74.1917,11,1%,N/A,91%,8%,"84,978"
153,Nuview Academy,Piscataway,Educational Services Commission Of New Jersey,N/A,N/A,N/A,40.52635,-74.48984,N/A,19%,<1%,39%,39%,"60,915"
154,N Warren Reg High School,Blairstown,North Warren Regional School District,5,6,7,40.981884,-74.9908,11,90%,1%,2%,5%,"68,011"
155,Arts High School,Newark,The Newark Public School District,3,3,2,40.73405,-74.1801,13,8%,<1%,59%,32%,"74,174"
156,Technology High School,Newark,The Newark Public School District,7,8,4,40.75738,-74.16909,11,13%,3%,14%,68%,"68,985"
157,A Hamilton Preparatory Academy,Elizabeth,Elizabeth Public School District,7,7,5,40.668,-74.221924,13,7%,1%,14%,77%,"75,181"
158,High School Of Info Tech,Paterson,Paterson Public School District,1,1,2,40.914307,-74.15987,10,<1%,<1%,14%,85%,"51,148"
159,High School Hospitality Tour & Culinary Arts,Paterson,Paterson Public School District,1,1,2,40.914307,-74.15987,11,1%,<1%,31%,68%,"56,188"
160,High School Govern & Public Admin,Paterson,Paterson Public School District,1,1,1,40.914307,-74.15987,11,1%,N/A,14%,85%,"64,749"
161,Ramapo High School,Franklin Lakes,Ramapo Indian Hills Regional High School District,7,7,10,40.998135,-74.19261,12,89%,5%,1%,4%,"87,368"
162,Bright Beginnings Lrn Cnt,Piscataway,Educational Services Commission Of New Jersey,N/A,N/A,N/A,40.531918,-74.41968,N/A,18%,13%,24%,43%,"54,171"
163,N J Reg Day  Piscataway,Piscataway,Educational Services Commission Of New Jersey,N/A,N/A,N/A,40.531002,-74.41972,N/A,19%,17%,18%,46%,"56,721"
164,T Jefferson Arts Academy,Elizabeth,Elizabeth Public School District,2,2,1,40.663166,-74.21101,11,9%,1%,22%,68%,"74,212"
165,Elizabeth High School,Elizabeth,Elizabeth Public School District,8,9,6,40.663425,-74.2105,22,12%,5%,11%,71%,"78,506"
166,John E Dwyer Tech Academy,Elizabeth,Elizabeth Public School District,2,2,1,40.66036,-74.212425,12,6%,2%,22%,70%,"76,938"
167,Raritan Valley Academy,Piscataway,Educational Services Commission Of New Jersey,N/A,N/A,N/A,40.52999,-74.41854,N/A,18%,<1%,55%,27%,"90,546"
168,Hawthorne High School,Hawthorne,Hawthorne Board Of Education School District,3,4,4,40.953392,-74.15968,12,64%,3%,4%,29%,"72,970"
169,Adm  W F Halsey Leadership Academy,Elizabeth,Elizabeth Public School District,1,1,1,40.65917,-74.21203,11,5%,<1%,17%,77%,"76,589"
170,Warren County Institute Vocational School,Washington,Warren County Technical School District,4,3,7,40.74206,-75.0241,11,77%,<1%,7%,14%,"57,489"
171,Metuchen High School,Metuchen,Metuchen Public School District,8,8,9,40.553665,-74.35447,14,63%,22%,5%,9%,"76,259"
172,Rosa Parks Arts High School,Paterson,Paterson Public School District,3,3,4,40.91975,-74.14638,8,2%,1%,43%,55%,"66,558"
173,Piscataway Vocational School,Piscataway,Middlesex County Vocational And Technical School District,3,3,4,40.524918,-74.4281,10,12%,6%,13%,70%,"65,511"
174,Mdsx Co Voc Pisc Career Develop,Piscataway,Middlesex County Vocational And Technical School District,2,1,4,40.524918,-74.4281,10,34%,N/A,18%,48%,"73,184"
175,Kearny High School,Kearny,Kearny School District,3,3,3,40.76184,-74.14721,12,37%,2%,2%,60%,"76,651"
176,Academy High School,Paterson,Paterson Public School District,N/A,N/A,N/A,40.91606,-74.14183,N/A,4%,5%,33%,58%,"46,161"
177,T A Edison Career Tech Academy,Elizabeth,Elizabeth Public School District,1,1,1,40.650738,-74.2116,7,5%,1%,19%,75%,"76,323"
178,Harrison High School,Harrison,Harrison Public School District,3,3,3,40.74978,-74.14767,13,19%,4%,2%,75%,"83,368"
179,East Side High School,Newark,The Newark Public School District,1,2,1,40.724022,-74.15872,16,25%,1%,12%,62%,"73,339"
180,John F Kennedy Mem High School,Woodbridge Township,Woodbridge Township School District,5,5,6,40.57249,-74.30364,11,23%,42%,9%,25%,"72,501"
181,Passaic High School,Passaic,Passaic City Public School District,2,2,2,40.856785,-74.12763,13,1%,2%,4%,93%,"75,025"
182,North Arlington High School,North Arlington,North Arlington School District,5,5,5,40.789085,-74.13235,10,60%,3%,2%,35%,"55,203"
183,Garfield Auxiliary Ms-High School,Clifton,Garfield Public School District,N/A,N/A,N/A,40.879166,-74.12705,N/A,15%,<1%,27%,54%,"75,088"
184,Academy Of Finance,Elizabeth,Elizabeth Public School District,N/A,N/A,N/A,40.644806,-74.20959,N/A,5%,1%,21%,73%,N/A
185,Lyndhurst High School,Lyndhurst,Lyndhurst School District,5,5,5,40.809044,-74.127205,12,61%,3%,3%,32%,"76,278"
186,Hope Academy,Passaic,Passaic County Educational Services Commission School District,N/A,N/A,N/A,40.87017,-74.125145,N/A,<1%,<1%,23%,77%,"50,854"
187,Hillsborough High School,Hillsborough Township,Hillsborough Township Public School District,8,8,10,40.496105,-74.65596,13,65%,21%,6%,8%,"82,666"
188,Memorial Sr  High School,Elmwood Park,Elmwood Park Board Of Education School District,4,4,3,40.909588,-74.12959,12,38%,10%,11%,40%,"52,252"
189,High Point Regional High School,Wantage,High Point Regional High School District,4,5,5,41.19985,-74.646126,11,88%,2%,3%,7%,"84,452"
190,Essex High School,Passaic,Essex Regional Educational Services Commission School District,N/A,N/A,N/A,40.867817,-74.117874,N/A,<1%,<1%,56%,44%,N/A
191,Belvidere High School,Belvidere,Belvidere School District,5,5,6,40.824932,-75.066666,11,87%,1%,1%,7%,"87,235"
192,Fair Lawn High School,Fair Lawn,Fair Lawn Public School District,8,8,9,40.932587,-74.12459,13,65%,12%,3%,19%,"80,431"
193,Garfield High School,Garfield,Garfield Public School District,2,N/A,2,40.882687,-74.112526,10,36%,1%,8%,55%,"67,049"
194,Woodbridge High School,Woodbridge Township,Woodbridge Township School District,3,2,4,40.566853,-74.28487,11,37%,12%,16%,33%,"74,053"
195,Rutherford High School,Rutherford,Rutherford Public School District,5,6,6,40.828842,-74.1084,10,55%,18%,3%,21%,"75,904"
196,Wallington Jr Sr High School,Wallington,Wallington Boro School District,5,6,6,40.854916,-74.106834,12,69%,3%,2%,25%,"86,973"
197,Highland Park High School,Highland Park,Highland Park Board Of Education School District,6,6,8,40.502502,-74.42558,10,41%,23%,10%,22%,"78,223"
198,Edison High School,Edison,Edison Township Public School District,5,5,7,40.514385,-74.386314,13,29%,37%,14%,19%,"80,971"
199,Bartels Corner,Flemington,Hunterdon County Vocational School District,N/A,N/A,N/A,40.535923,-74.85513,N/A,100,<1%,<1%,<1%,N/A
200,Hunterdon County Polytech,Flemington,Hunterdon County Vocational School District,N/A,N/A,N/A,40.535778,-74.85515,N/A,N/A,N/A,N/A,N/A,N/A
201,Glen Rock High School,Glen Rock,Glen Rock Public School District,8,8,10,40.9557,-74.1229,10,84%,10%,1%,3%,"76,171"
202,New Brunswick High School,New Brunswick,New Brunswick Public School District,2,3,1,40.4806,-74.4806,13,1%,1%,12%,87%,"79,832"
203,Midland Park High School,Midland Park,Midland Park Public School District,5,7,7,41.000145,-74.136566,9,83%,4%,1%,12%,"58,935"
